Marque;Segment;Tranche d'age;Typologie Pat;NBV (%CA);NBV (M Euro);CA (M Euro);;;
MMA;Euro;70 ans et +;Confirme;0,01;1,8;174,3;;;
MMA;Euro;70 ans et +;Grand Public;0,01;0,3;33,5;;;
MMA;Euro;0-30ans;Potentiel;0,009;0;0,4;;;
MMA;Euro;70 ans et +;Potentiel;0,007;0;1,7;;;
MMA Agents;UC;0-30ans;Confirme;0,144;0,5;3,6;;;
MMA Agents;UC;30-40ans;Confirme;0,135;0,6;4,1;;;
MMA Agents;UC;40-50ans;Confirme;0,133;1,1;8,2;;;
MMA Agents;UC;50-60ans;Confirme;0,121;2;16,7;;;
MMA Agents;UC;60-70ans;Confirme;0,097;2,4;25;;;
MMA Agents;UC;50-60ans;Grand Public;0,078;0,4;5,3;;;
MMA Agents;UC;40-50ans;Grand Public;0,073;0,3;3,7;;;
MMA Agents;UC;60-70ans;Grand Public;0,071;0,4;5,2;;;
MMA Agents;UC;40-50ans;Potentiel;0,067;0,1;1,1;;;
MMA Agents;UC;50-60ans;Potentiel;0,065;0,1;1;;;
MMA Agents;UC;70 ans et +;Confirme;0,057;0,7;12,6;;;
MMA Agents;UC;30-40ans;Grand Public;0,056;0,2;2,9;;;
MMA Agents;UC;30-40ans;Potentiel;0,056;0;0,3;;;
MMA Agents;UC;60-70ans;Potentiel;0,053;0;0,6;;;
MMA Agents;UC;70 ans et +;Grand Public;0,041;0,1;2,5;;;
MMA Agents;Euro;40-50ans;Confirme;0,04;0,8;19;;;
MMA Agents;Euro;50-60ans;Confirme;0,038;1,9;49,9;;;
MMA Agents;Euro;30-40ans;Confirme;0,036;0,3;8,3;;;
MMA Agents;Euro;0-30ans;Confirme;0,036;0,4;11;;;
MMA Agents;UC;70 ans et +;Potentiel;0,034;0;0,2;;;
MMA Agents;Euro;40-50ans;Potentiel;0,033;0;1,2;;;
MMA Agents;Euro;30-40ans;Potentiel;0,032;0;0,6;;;
MMA Agents;Euro;40-50ans;Grand Public;0,031;0,4;13,6;;;
MMA Agents;UC;0-30ans;Grand Public;0,031;0,1;1,9;;;
MMA Agents;Euro;60-70ans;Confirme;0,027;2,3;83,7;;;
MMA Agents;Euro;50-60ans;Grand Public;0,027;0,7;25,1;;;
MMA Agents;Euro;30-40ans;Grand Public;0,026;0,2;7,4;;;
MMA Agents;UC;0-30ans;Potentiel;0,024;0;0,2;;;
MMA Agents;Euro;50-60ans;Potentiel;0,022;0,1;2,7;;;
MMA Agents;Euro;0-30ans;Grand Public;0,019;0,2;7,7;;;
MMA Agents;Euro;60-70ans;Grand Public;0,019;0,7;38,8;;;
MMA Agents;Euro;60-70ans;Potentiel;0,017;0;2,2;;;
MMA Agents;Euro;70 ans et +;Confirme;0,013;1,2;88,4;;;
MMA Agents;Euro;70 ans et +;Grand Public;0,01;0,3;30,2;;;
MMA Agents;Euro;0-30ans;Potentiel;0,009;0;0,4;;;
MMA Agents;Euro;70 ans et +;Potentiel;0,007;0;1,7;;;
MMA CAP;UC;30-40ans;Confirme;0,147;0,4;2,9;;;
MMA CAP;UC;40-50ans;Confirme;0,147;0,9;6,5;;;
MMA CAP;UC;50-60ans;Confirme;0,135;2,3;16,9;;;
MMA CAP;UC;0-30ans;Confirme;0,133;0,4;3,1;;;
MMA CAP;UC;60-70ans;Confirme;0,109;2,3;21,3;;;
MMA CAP;UC;70 ans et +;Confirme;0,058;0,6;10,8;;;
MMA CAP;UC;60-70ans;Grand Public;0,035;0;0;;;
MMA CAP;Euro;40-50ans;Confirme;0,026;0,2;6;;;
MMA CAP;UC;70 ans et +;Grand Public;0,026;0;0;;;
MMA CAP;Euro;50-60ans;Confirme;0,022;0,4;17,6;;;
MMA CAP;Euro;0-30ans;Confirme;0,021;0,1;4,4;;;
MMA CAP;Euro;30-40ans;Confirme;0,019;0,1;3,4;;;
MMA CAP;Euro;70 ans et +;Grand Public;0,017;0;2,5;;;
MMA CAP;Euro;40-50ans;Grand Public;0,016;0;0,4;;;
MMA CAP;Euro;60-70ans;Grand Public;0,014;0;2,3;;;
MMA CAP;Euro;50-60ans;Grand Public;0,014;0;2,7;;;
MMA CAP;UC;50-60ans;Grand Public;0,014;0;0;;;
MMA CAP;Euro;60-70ans;Confirme;0,014;0,3;23,6;;;
MMA CAP;Euro;30-40ans;Grand Public;0,011;0;0;;;
MMA CAP;Euro;0-30ans;Grand Public;0,006;0;0,1;;;
MMA CAP;Euro;70 ans et +;Confirme;0;0;23,4;;;
MMA CAP;UC;40-50ans;Grand Public;-0,008;0;0;;;
MMA CAP;UC;30-40ans;Grand Public;-0,03;0;0;;;
MMA CAP;UC;0-30ans;Grand Public;-0,039;0;0;;;
MMA Courtage;UC;40-50ans;Confirme;0,058;1,4;24;;;
MMA Courtage;UC;50-60ans;Confirme;0,057;2,5;43,5;;;
MMA Courtage;UC;60-70ans;Confirme;0,055;2,7;49,2;;;
MMA Courtage;UC;30-40ans;Confirme;0,052;0,6;11,4;;;
MMA Courtage;UC;0-30ans;Confirme;0,041;0,8;18,9;;;
MMA Courtage;UC;70 ans et +;Confirme;0,034;1;29,7;;;
MMA Courtage;Euro;0-30ans;Confirme;0,029;1,6;55,6;;;
MMA Courtage;Euro;50-60ans;Confirme;0,024;1,2;50,1;;;
MMA Courtage;Euro;40-50ans;Confirme;0,023;0,5;24,2;;;
MMA Courtage;Euro;60-70ans;Confirme;0,02;1,8;87,4;;;
MMA Courtage;Euro;30-40ans;Confirme;0,019;0,3;13,9;;;
MMA Courtage;Euro;70 ans et +;Confirme;0,01;0,6;61,2;;;
